strategy,droneCount,maxAngle,droneID,timeStamp,x,y
decentralizedWeighted,20,45.0,34141636156,6267,-165.591110229492,-15.3174428939819
decentralizedWeighted,20,45.0,34326185543,6267,-51.743106842041,-34.7420120239258
decentralizedWeighted,20,45.0,34510734930,6267,-41.5748863220215,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,6267,-107.419105529785,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,6267,-111.610687255859,55.7542152404785
decentralizedWeighted,20,45.0,35064383091,6267,-73.8594589233398,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,6267,-18.16721534729,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,6267,-118.792449951172,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6365,-126.696151733398,-26.4757080078125
decentralizedWeighted,20,45.0,32111592899,6365,-52.1398315429688,65.2172241210938
decentralizedWeighted,20,45.0,32296142286,6366,-88.3484191894531,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,6366,-2.90089511871338,30.136194229126
decentralizedWeighted,20,45.0,32665241060,6366,-42.9958343505859,32.7326965332031
decentralizedWeighted,20,45.0,32849790447,6366,-85.3718795776367,60.9983825683594
decentralizedWeighted,20,45.0,33034339834,6366,-136.091293334961,-50.917911529541
decentralizedWeighted,20,45.0,33218889221,6366,-110.857582092285,27.9136276245117
decentralizedWeighted,20,45.0,33403438608,6366,-57.3293418884277,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,6366,-95.7889022827148,2.42560529708862
decentralizedWeighted,20,45.0,33772537382,6366,-111.363433837891,-50.0612487792969
decentralizedWeighted,20,45.0,33957086769,6366,-55.7712364196777,-69.5954437255859
decentralizedWeighted,20,45.0,34141636156,6366,-165.591110229492,-20.386890411377
decentralizedWeighted,20,45.0,34326185543,6366,-49.1736640930176,-32.242015838623
decentralizedWeighted,20,45.0,34510734930,6366,-41.5748863220215,90.0611038208008
decentralizedWeighted,20,45.0,34695284317,6366,-102.349647521973,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,6366,-111.610687255859,60.8236541748047
decentralizedWeighted,20,45.0,35064383091,6366,-68.7900009155273,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,6366,-13.097770690918,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,6366,-113.722991943359,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6465,-121.696136474609,-26.4757080078125
decentralizedWeighted,20,45.0,32111592899,6465,-51.3064994812012,68.5505676269531
decentralizedWeighted,20,45.0,32296142286,6465,-83.3484039306641,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,6465,2.09910535812378,30.136194229126
decentralizedWeighted,20,45.0,32665241060,6465,-37.9958419799805,32.7326965332031
decentralizedWeighted,20,45.0,32849790447,6465,-80.3718643188477,60.9983825683594
decentralizedWeighted,20,45.0,33034339834,6465,-136.091293334961,-55.9179039001465
decentralizedWeighted,20,45.0,33218889221,6465,-110.857582092285,22.9136238098145
decentralizedWeighted,20,45.0,33403438608,6465,-52.3293495178223,-0.40326142311096
decentralizedWeighted,20,45.0,33587987995,6465,-90.7888870239258,2.42560529708862
decentralizedWeighted,20,45.0,33772537382,6465,-111.363433837891,-55.0612411499023
decentralizedWeighted,20,45.0,33957086769,6465,-51.6045761108398,-69.5954437255859
decentralizedWeighted,20,45.0,34141636156,6465,-165.591110229492,-25.3868942260742
decentralizedWeighted,20,45.0,34326185543,6465,-44.1736717224121,-32.242015838623
decentralizedWeighted,20,45.0,34510734930,6465,-36.574893951416,90.0611038208008
decentralizedWeighted,20,45.0,34695284317,6465,-97.3496322631836,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,6465,-111.610687255859,65.8236541748047
decentralizedWeighted,20,45.0,35064383091,6465,-63.7899894714355,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,6465,-8.0977725982666,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,6465,-108.72297668457,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6566,-116.69612121582,-26.4757080078125
decentralizedWeighted,20,45.0,32111592899,6566,-51.3064994812012,73.5505828857422
decentralizedWeighted,20,45.0,32296142286,6566,-78.348388671875,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,6566,7.0991063117981,30.136194229126
decentralizedWeighted,20,45.0,32665241060,6566,-34.6625137329102,31.8993625640869
decentralizedWeighted,20,45.0,32849790447,6566,-75.3718490600586,60.9983825683594
decentralizedWeighted,20,45.0,33034339834,6566,-136.091293334961,-60.917896270752
decentralizedWeighted,20,45.0,33218889221,6566,-110.857582092285,17.9136199951172
decentralizedWeighted,20,45.0,33403438608,6566,-51.4960174560547,-3.73659515380859
decentralizedWeighted,20,45.0,33587987995,6566,-85.7888717651367,2.42560529708862
decentralizedWeighted,20,45.0,33772537382,6566,-110.530097961426,-56.7279052734375
decentralizedWeighted,20,45.0,33957086769,6567,-51.6045761108398,-74.595458984375
decentralizedWeighted,20,45.0,34141636156,6567,-164.757781982422,-29.5535640716553
decentralizedWeighted,20,45.0,34326185543,6567,-39.1736793518066,-32.242015838623
decentralizedWeighted,20,45.0,34510734930,6567,-31.5748996734619,90.0611038208008
decentralizedWeighted,20,45.0,34695284317,6567,-92.3496170043945,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,6567,-108.27734375,67.4903259277344
decentralizedWeighted,20,45.0,35064383091,6567,-58.7899971008301,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,6567,-3.09777164459229,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,6567,-103.722961425781,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6666,-111.696105957031,-26.4757080078125
decentralizedWeighted,20,45.0,32111592899,6666,-51.3064994812012,78.5505981445313
decentralizedWeighted,20,45.0,32296142286,6666,-73.3483734130859,-82.6166152954102
decentralizedWeighted,20,45.0,32480691673,6666,8.76577281951904,32.6361961364746
decentralizedWeighted,20,45.0,32665241060,6666,-31.3291835784912,30.2326946258545
decentralizedWeighted,20,45.0,32849790447,6666,-70.3718338012695,60.9983825683594
decentralizedWeighted,20,45.0,33034339834,6666,-136.091293334961,-65.9179000854492
decentralizedWeighted,20,45.0,33218889221,6666,-110.857582092285,12.9136199951172
decentralizedWeighted,20,45.0,33403438608,6666,-51.4960174560547,-8.73659610748291
decentralizedWeighted,20,45.0,33587987995,6666,-80.7888565063477,2.42560529708862
decentralizedWeighted,20,45.0,33772537382,6666,-110.530097961426,-51.727912902832
decentralizedWeighted,20,45.0,33957086769,6666,-51.6045761108398,-79.5954742431641
decentralizedWeighted,20,45.0,34141636156,6666,-159.7578125,-29.5535640716553
decentralizedWeighted,20,45.0,34326185543,6666,-34.1736869812012,-32.242015838623
decentralizedWeighted,20,45.0,34510734930,6666,-26.5748958587646,90.0611038208008
decentralizedWeighted,20,45.0,34695284317,6666,-87.3496017456055,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,6666,-103.277328491211,67.4903259277344
decentralizedWeighted,20,45.0,35064383091,6666,-53.7900047302246,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,6666,1.90222871303558,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,6666,-98.7229461669922,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6765,-111.696105957031,-22.3090381622314
decentralizedWeighted,20,45.0,32111592899,6765,-49.6374206542969,80.9724655151367
decentralizedWeighted,20,45.0,32296142286,6765,-71.6817016601563,-85.1166229248047
decentralizedWeighted,20,45.0,32480691673,6765,8.76577281951904,37.6361885070801
decentralizedWeighted,20,45.0,32665241060,6765,-26.3291797637939,30.2326946258545
decentralizedWeighted,20,45.0,32849790447,6765,-65.3718185424805,60.9983825683594
decentralizedWeighted,20,45.0,33034339834,6765,-134.42463684082,-69.2512435913086
decentralizedWeighted,20,45.0,33218889221,6765,-110.857582092285,7.91362142562866
decentralizedWeighted,20,45.0,33403438608,6765,-51.4960174560547,-13.7365942001343
decentralizedWeighted,20,45.0,33587987995,6765,-75.7888412475586,2.42560529708862
decentralizedWeighted,20,45.0,33772537382,6765,-110.530097961426,-46.7279205322266
decentralizedWeighted,20,45.0,33957086769,6765,-51.6045761108398,-84.5954895019531
decentralizedWeighted,20,45.0,34141636156,6765,-154.757843017578,-29.5535640716553
decentralizedWeighted,20,45.0,34326185543,6765,-29.1736869812012,-32.242015838623
decentralizedWeighted,20,45.0,34510734930,6765,-21.5748920440674,90.0611038208008
decentralizedWeighted,20,45.0,34695284317,6765,-82.3495864868164,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,6765,-98.2773132324219,67.4903259277344
decentralizedWeighted,20,45.0,35064383091,6765,-48.7851829528809,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,6765,6.90222930908203,-87.8342971801758
decentralizedWeighted,20,45.0,35433481865,6765,-93.7229309082031,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,6866,-111.696105957031,-17.3090343475342
decentralizedWeighted,20,45.0,32111592899,6866,-49.6374206542969,75.9724502563477
decentralizedWeighted,20,45.0,32296142286,6866,-71.6817016601563,-90.1166381835938
